"";"...1";"variable";"description"
"142";"#";"v235";"NA - Index last child prior to maternity-health (calendar)"
"143";"#";"v237";"Birth between last and interview"
"144";"#";"v238";"Births in last three years"
"145";"#";"v239";"NA - Pregnancies terminated before calendar beginning"
"146";"#";"v240";"NA - Month of last termination prior to calendar"
"147";"#";"v241";"NA - Year of last termination prior to calendar"
"148";"#";"v242";"NA - CMC termination ended prior to calendar"
"149";"#";"v243";"NA - Completeness of last termination date prior to calendar"
"150";"#";"v244";"NA - Can women get pregnant after birth and before period"
"151";"#";"v310";"NA - Living children at first use"
"152";"#";"v311";"NA - Children at first use (grouped)"
"153";"#";"v312";"Current contraceptive method"
"154";"#";"v313";"Current use by method type"
"155";"#";"v315";"NA - Month of start of use of method"
"156";"#";"v316";"NA - Year of start of use of method"
"157";"#";"v317";"NA - Date of start of use of method (CMC)"
"158";"#";"v318";"NA - Completeness of information"
"159";"#";"v319";"NA - Years since sterilization"
"160";"#";"v320";"NA - Age at sterilization"
"161";"#";"v321";"NA - Marital duration at sterilization"
"162";"#";"v322";"NA - Parity at sterilization"
"163";"#";"v323";"NA - Brand of pill used"
"164";"#";"v323a";"NA - Brand of condom used"
"165";"#";"v325a";"NA - Cost of current method (in CURRENCY)"
"166";"#";"v326";"Last source for current users"
"167";"#";"v327";"Last source for users by type"
"168";"#";"v337";"NA - Months of use of current method"
"169";"#";"v359";"NA - Last method discontinued in last 5 years"
"170";"#";"v360";"NA - Reason of last discontinuation"
"171";"#";"v361";"Pattern of use"
"172";"#";"v362";"NA - Intention to use"
"173";"#";"v363";"NA - Preferred future method"
"174";"#";"v364";"Contraceptive use and intention"
"175";"#";"v367";"NA - Wanted last child"
"176";"#";"v372";"NA - Shown pill package"
"177";"#";"v372a";"NA - Shown condom package"
"178";"#";"v375a";"NA - Main reason not using a method"
"179";"#";"v376";"NA - Main reason not to use a method"
"180";"#";"v376a";"NA - Would ever use method if married"
"181";"#";"v379";"NA - Source known for any method"
"182";"#";"v380";"NA - Source known for any method"
"183";"#";"v384a";"NA - Heard family planning on radio last few months"
"184";"#";"v384b";"NA - Heard family planning on TV last few months"
"185";"#";"v384c";"NA - Heard family planning in newspaper/magazine last few months"
"186";"#";"v384d";"NA - Heard family planning by text messages on mobile phone"
"187";"#";"v393";"NA - Visited by fieldworker in last 12 months"
"188";"#";"v393a";"NA - Did fieldworker talk about family planning"
"189";"#";"v394";"NA - Visited health facility last 12 months"
"190";"#";"v395";"NA - At health facility, told of family planning"
"191";"#";"v3a00a";"NA - Source of family planning for non-users: government hospital"
"192";"#";"v3a00b";"NA - Source of family planning for non-users: CS public sector"
"193";"#";"v3a00c";"NA - Source of family planning for non-users: CS public sector"
"194";"#";"v3a00d";"NA - Source of family planning for non-users: CS public sector"
"195";"#";"v3a00e";"NA - Source of family planning for non-users: CS public sector"
"196";"#";"v3a00f";"NA - Source of family planning for non-users: CS public sector"
"197";"#";"v3a00g";"NA - Source of family planning for non-users: CS public sector"
"198";"#";"v3a00h";"NA - Source of family planning for non-users: CS public sector"
"199";"#";"v3a00i";"NA - Source of family planning for non-users: CS public sector"
"200";"#";"v3a00j";"NA - Source of family planning for non-users: private hospital/clinic"
"201";"#";"v3a00k";"NA - Source of family planning for non-users: pharmacy"
"202";"#";"v3a00l";"NA - Source of family planning for non-users: private doctor"
"203";"#";"v3a00m";"NA - Source of family planning for non-users: CS private sector"
"204";"#";"v3a00n";"NA - Source of family planning for non-users: CS private sector"
"205";"#";"v3a00o";"NA - Source of family planning for non-users: CS private sector"
"206";"#";"v3a00p";"NA - Source of family planning for non-users: CS private sector"
"207";"#";"v3a00q";"NA - Source of family planning for non-users: CS private sector"
"208";"#";"v3a00r";"NA - Source of family planning for non-users: CS private sector"
"209";"#";"v3a00s";"NA - Source of family planning for non-users: CS other"
"210";"#";"v3a00t";"NA - Source of family planning for non-users: CS other"
"211";"#";"v3a00u";"NA - Source of family planning for non-users: CS other"
"212";"#";"v3a00v";"NA - Source of family planning for non-users: CS other"
"213";"#";"v3a00w";"NA - Source of family planning for non-users: CS other"
"214";"#";"v3a00x";"NA - Source of family planning for non-users: other"
"215";"#";"v3a00y";"NA - Source of family planning for non-users: no source"
"216";"#";"v3a00z";"NA - Source of family planning for non-users: any source"
"217";"#";"v3a01";"NA - Told sterilization would mean no more children"
"218";"#";"v3a02";"NA - Told about side effects"
"219";"#";"v3a03";"NA - Told about side effects by health or family planning worker"
"220";"#";"v3a04";"NA - Told how to deal with side effects"
"221";"#";"v3a05";"NA - Told about other family planning methods"
"222";"#";"v3a06";"NA - Told about other family planning methods by health or family planning worker"
"223";"#";"v3a07";"NA - First source for current method"
"224";"#";"v3a08a";"NA - Reason not using: not married"
"225";"#";"v3a08b";"NA - Reason not using: not having sex"
"226";"#";"v3a08c";"NA - Reason not using: infrequent sex"
"227";"#";"v3a08d";"NA - Reason not using: menopausal/hysterectomy"
"228";"#";"v3a08e";"NA - Reason not using: subfecund/infecund"
"229";"#";"v3a08f";"NA - Reason not using: postpartum amenorrheic"
"230";"#";"v3a08g";"NA - Reason not using: breastfeeding"
"231";"#";"v3a08h";"NA - Reason not using: fatalistic"
"232";"#";"v3a08i";"NA - Reason not using: respondent opposed"
"233";"#";"v3a08j";"NA - Reason not using: husband/partner opposed"
"234";"#";"v3a08k";"NA - Reason not using: others opposed"
"235";"#";"v3a08l";"NA - Reason not using: religious prohibition"
"236";"#";"v3a08m";"NA - Reason not using: knows no method"
"237";"#";"v3a08n";"NA - Reason not using: knows no source"
"238";"#";"v3a08o";"NA - Reason not using: health concerns"
"239";"#";"v3a08p";"NA - Reason not using: fear of side effects/health concerns"
"240";"#";"v3a08q";"NA - Reason not using: lack of access/too far"
"241";"#";"v3a08r";"NA - Reason not using: costs too much"
"242";"#";"v3a08s";"NA - Reason not using: inconvenient to use"
"243";"#";"v3a08t";"NA - Reason not using: interferes with body'??s processes"
"244";"#";"v3a08u";"NA - Reason not using: preferred method not available"
"245";"#";"v3a08v";"NA - Reason not using: no method available"
"246";"#";"v3a08w";"NA - Reason not using: CS"
"247";"#";"v3a08aa";"NA - Reason not using: CS"
"248";"#";"v3a08ab";"NA - Reason not using: CS"
"249";"#";"v3a08ac";"NA - Reason not using: CS"
"250";"#";"v3a08ad";"NA - Reason not using: CS"
"251";"#";"v3a08x";"NA - Reason not using: other"
"252";"#";"v3a08z";"NA - Reason not using: don't know"
"253";"#";"v3a09a";"NA - How many pill cycles did get last time"
"254";"#";"v3a09b";"NA - How many condoms did get last time"
"255";"#";"v401";"Last birth a caesarean section"
"256";"#";"v404";"Currently breastfeeding"
"257";"#";"v405";"NA - Currently amenorrheic"
"258";"#";"v406";"NA - Currently abstaining"
"259";"#";"v407";"NA - Number of times breastfed during night"
"260";"#";"v408";"NA - Number of times breastfed during day"
"261";"#";"v409";"Gave child plain water"
"262";"#";"v409a";"NA - Gave child sugar water"
"263";"#";"v410";"Gave child juice"
"264";"#";"v410a";"NA - Gave child tea or coffee"
"265";"#";"v411";"Gave child tinned, powdered or fresh milk"
"266";"#";"v411a";"Gave child baby formula"
"267";"#";"v412";"NA - Gave child fresh milk"
"268";"#";"v412a";"Gave child fortified baby food (cerelac, etc)"
"269";"#";"v412b";"NA - Gave child other porridge/gruel"
"270";"#";"v412c";"Gave child soup/clear broth"
"271";"#";"v413";"Gave child other liquid"
"272";"#";"v413a";"NA - Gave child CS liquid"
"273";"#";"v413b";"NA - Gave child CS liquid"
"274";"#";"v413c";"NA - Gave child CS liquid"
"275";"#";"v413d";"NA - Gave child CS liquid"
"276";"#";"v414a";"NA - Gave child CS foods"
"277";"#";"v414b";"NA - Gave child CS foods"
"278";"#";"v414c";"NA - Gave child CS foods"
"279";"#";"v414d";"NA - Gave child CS foods"
"280";"#";"v414e";"Gave child bread, noodles, other made from grains"
"281";"#";"v414f";"Gave child potatoes, cassava, or other tubers"
"282";"#";"v414g";"Gave child eggs"
"283";"#";"v414h";"Gave child meat (beef, pork, lamb, chicken, etc)"
"284";"#";"v414i";"Gave child pumpkin, carrots, squash (yellow or orange inside)"
"285";"#";"v414j";"Gave child any dark green leafy vegetables"
"286";"#";"v414k";"Gave child mangoes, papayas, other vitamin A fruits"
"287";"#";"v414l";"Gave child any other fruits"
"288";"#";"v414m";"Gave child liver, heart, other organs"
"289";"#";"v414n";"Gave child fish or shellfish"
"290";"#";"v414o";"Gave child food made from beans, peas, lentils, nuts"
"291";"#";"v414p";"Gave child cheese, yogurt, other milk products"
"292";"#";"v414q";"NA - Gave child oil, fats, butter, products made of them"
"293";"#";"v414r";"NA - Gave child chocolates, sweets, candies, pastries, etc"
"294";"#";"v414s";"Gave child other solid-semisolid food"
"295";"#";"v414t";"NA - Gave child CS foods"
"296";"#";"v414u";"NA - Gave child CS foods"
"297";"#";"v414v";"Gave child yogurt"
"298";"#";"v414w";"NA - Gave child CS foods"
"299";"#";"v415";"Drank from bottle with nipple yesterday/last night"
"300";"#";"v416";"NA - Heard of oral rehydration"
"301";"#";"v417";"Entries in pregnancy and postnatal care roster"
"302";"#";"v418";"Entries in immunization roster"
"303";"#";"v418a";"Entries in child health roster"
"304";"#";"v419";"Entries in height/weight roster"
"305";"#";"v420";"NA - Measurer's code"
"306";"#";"v421";"NA - Assistant measurer's code"
"307";"#";"v426";"When child put to breast"
"308";"#";"v437";"NA - Respondent's weight in kilograms (1 decimal)"
"309";"#";"v438";"NA - Respondent's height in centimeters (1 decimal)"
"310";"#";"v439";"NA - Height/Age percentile"
"311";"#";"v440";"Height/Age standard deviation"
"312";"#";"v441";"NA - Height/Age percent ref. median"
"313";"#";"v442";"NA - Weight/Height percent ref. median (DHS)"
"314";"#";"v443";"NA - Weight/Height percent ref. median (Fog)"
"315";"#";"v444";"NA - Weight/Height percent ref. median (WHO)"
"316";"#";"v444a";"NA - Weight/Height standard deviation (DHS)"
"317";"#";"v445";"NA - Body Mass Index"
"318";"#";"v446";"NA - Rohrer's index"
"319";"#";"v447";"NA - Result of measurement - height/weight"
"320";"#";"v447a";"NA - Women's age in years (from household questionnaire)"
"321";"#";"v452a";"NA - Under age 18 (from household questionnaire)"
"322";"#";"v452b";"NA - Line number of parent/caretaker"
"323";"#";"v452c";"NA - Read consent statement - hemoglobin"
"324";"#";"v453";"NA - Hemoglobin level (g/dl - 1 decimal)"
"325";"#";"v454";"NA - Currently pregnant (from household questionnaire)"
"326";"#";"v455";"NA - Result of measurement - hemoglobin"
"327";"#";"v456";"NA - Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"328";"#";"v457";"NA - Anemia level"
"329";"#";"v458";"NA - Agrees to referral - anemia"
"330";"#";"v459";"NA - Have mosquito bed net for sleeping (from household questionnaire)"
"331";"#";"v460";"NA - Children under 5 slept under mosquito bed net last night (household questionnaire)"
"332";"#";"v461";"NA - Respondent slept under mosquito bed net"
"333";"#";"v462";"NA - Washed hands before preparing last meal"
"334";"#";"v463a";"NA - Smokes cigarettes"
"335";"#";"v463b";"NA - Smokes pipe full of tobacco"
"336";"#";"v463c";"NA - Chews tobacco"
"337";"#";"v463d";"NA - Snuffs by nose"
"338";"#";"v463e";"NA - Smokes kreteks"
"339";"#";"v463f";"NA - Smokes cigars, cheroots or cigarillos"
"340";"#";"v463g";"NA - Smokes water pipe"
"341";"#";"v463h";"NA - Snuff by mouth"
"342";"#";"v463i";"NA - Chews betel quid with tobacco"
"343";"#";"v463j";"NA - Smokes/uses country specific"
"344";"#";"v463k";"NA - Smokes/uses country specific"
"345";"#";"v463l";"NA - Smokes/uses country specific"
"346";"#";"v463x";"NA - Smokes/uses other"
"347";"#";"v463z";"NA - Does not use cigarettes and tobacco"
"348";"#";"v463aa";"NA - Frequency smokes cigarettes"
"349";"#";"v463ab";"NA - Frequency currently uses other type of tobacco"
"350";"#";"v464";"NA - Number of cigarettes in last 24 hours"
"351";"#";"v465";"NA - Disposal of youngest child's stools when not using toilet"
"352";"#";"v466";"NA - When child is seriously ill, can decide whether medical treatment sought"
"353";"#";"v467a";"NA - Getting medical help for self: know where to go"
"354";"#";"v467b";"NA - Getting medical help for self: getting permission to go"
"355";"#";"v467c";"NA - Getting medical help for self: getting money needed for treatment"
"356";"#";"v467d";"NA - Getting medical help for self: distance to health facility"
"357";"#";"v467e";"NA - Getting medical help for self: having to take transport"
"358";"#";"v467f";"NA - Getting medical help for self: not wanting to go alone"
"359";"#";"v467g";"NA - Getting medical help for self: concern no female health provider"
"360";"#";"v467h";"NA - Getting medical help for self: concern no provider"
"361";"#";"v467i";"NA - Getting medical help for self: concern no drugs available"
"362";"#";"v467j";"NA - Getting medical help for self: CS"
"363";"#";"v467k";"NA - Getting medical help for self: CS"
"364";"#";"v467l";"NA - Getting medical help for self: CS"
"365";"#";"v467m";"NA - Getting medical help for self: CS"
"366";"#";"v468";"NA - Record for Last Birth"
"367";"#";"v469e";"Times gave child powdered/tinned/fresh milk"
"368";"#";"v469f";"Times gave child infant formula"
"369";"#";"v469x";"Times gave child yogurt"
"370";"#";"v471a";"NA - Mother had tinned, powdered or fresh milk"
"371";"#";"v471b";"NA - Mother had tea or coffee"
"372";"#";"v471c";"NA - Mother had any other liquid"
"373";"#";"v471d";"NA - Mother had CS liquid"
"374";"#";"v471e";"NA - Mother had CS liquid"
"375";"#";"v471f";"NA - Mother had CS liquid"
"376";"#";"v471g";"NA - Mother had CS liquid"
"377";"#";"v472a";"NA - Mother had CS foods"
"378";"#";"v472b";"NA - Mother had CS foods"
"379";"#";"v472c";"NA - Mother had CS foods"
"380";"#";"v472d";"NA - Mother had CS foods"
"381";"#";"v472e";"NA - Mother had bread, noodles, other made from grains"
"382";"#";"v472f";"NA - Mother had potatoes, cassava, or other tubers"
"383";"#";"v472g";"NA - Mother had eggs"
"384";"#";"v472h";"NA - Mother had meat (beef, pork, lamb, chicken, etc)"
"385";"#";"v472i";"NA - Mother had pumpkin, carrots, squash (yellow or orange inside)"
"386";"#";"v472j";"NA - Mother had any dark green leafy vegetables"
"387";"#";"v472k";"NA - Mother had mangoes, papayas, other vitamin A fruits"
"388";"#";"v472l";"NA - Mother had any other fruits"
"389";"#";"v472m";"NA - Mother had liver, heart, other organs"
"390";"#";"v472n";"NA - Mother had fish or shellfish"
"391";"#";"v472o";"NA - Mother had food made from beans, peas, lentils, nuts"
"392";"#";"v472p";"NA - Mother had cheese, yogurt, other milk products"
"393";"#";"v472q";"NA - Mother had oil, fats, butter, products made of them"
"394";"#";"v472r";"NA - Mother had chocolates, sweets, candies, pastries, etc"
"395";"#";"v472s";"NA - Mother had other solid-semisolid food"
"396";"#";"v472t";"NA - Mother had CS foods"
"397";"#";"v472u";"NA - Mother had CS foods"
"398";"#";"v473a";"NA - Read consent statement - HIV"
"399";"#";"v473b";"NA - Result of measurement - HIV"
"400";"#";"v474";"NA - Heard of tuberculosis or TB"
"401";"#";"v474a";"NA - Tuberculosis spread by: air when coughing or sneezing"
"402";"#";"v474b";"NA - Tuberculosis spread by: sharing utensils"
"403";"#";"v474c";"NA - Tuberculosis spread by: touching a person with TB"
"404";"#";"v474d";"NA - Tuberculosis spread by: food"
"405";"#";"v474e";"NA - Tuberculosis spread by: sexual contact"
"406";"#";"v474f";"NA - Tuberculosis spread by: mosquito bites"
"407";"#";"v474g";"NA - Tuberculosis spread by: CS"
"408";"#";"v474h";"NA - Tuberculosis spread by: CS"
"409";"#";"v474i";"NA - Tuberculosis spread by: CS"
"410";"#";"v474j";"NA - Tuberculosis spread by: CS"
"411";"#";"v474x";"NA - Tuberculosis spread by: other"
"412";"#";"v474z";"NA - Tuberculosis spread by: don't know"
"413";"#";"v475";"NA - Tuberculosis can be cured"
"414";"#";"v476";"NA - Keep secret when family member gets TB"
"415";"#";"v477";"NA - Number of injections in last 12 months"
"416";"#";"v478";"NA - Number of injections administered by a health worker"
"417";"#";"v479";"NA - Place of injection by health worker"
"418";"#";"v480";"NA - Syringe and needle from new, unopened package"
"419";"#";"v481";"NA - Covered by health insurance"
"420";"#";"v481a";"NA - Health insurance type: mutual/community organization"
"421";"#";"v481b";"NA - Health insurance type: provided by employer"
"422";"#";"v481c";"NA - Health insurance type: social security"
"423";"#";"v481d";"NA - Health insurance type: private/commercially purchased"
"424";"#";"v481e";"NA - Health insurance type: CS"
"425";"#";"v481f";"NA - Health insurance type: CS"
"426";"#";"v481g";"NA - Health insurance type: CS"
"427";"#";"v481h";"NA - Health insurance type: CS"
"428";"#";"v481x";"NA - Health insurance type: other"
"429";"#";"v482a";"NA - Arrange care of biological children under age 18"
"430";"#";"v482b";"NA - Primary caregiver of children under age 18"
"431";"#";"v482c";"NA - Arrange care of non-biological children < 18"
"432";"#";"v501";"Current marital status"
"433";"#";"v502";"Currently/formerly/never in union"
"434";"#";"v503";"NA - Number of unions"
"435";"#";"v504";"NA - Currently residing with husband/partner"
"436";"#";"v505";"NA - Number of other wives"
"437";"#";"v506";"NA - Respondent's rank among wives"
"438";"#";"v507";"NA - Month of first cohabitation"
"439";"#";"v508";"NA - Year of first cohabitation"
"440";"#";"v509";"NA - Date of first cohabitation (CMC)"
"441";"#";"v510";"NA - Completeness of date information in V509"
"442";"#";"v511";"NA - Age at first cohabitation"
"443";"#";"v512";"NA - Years since first cohabitation"
"444";"#";"v513";"NA - Cohabitation duration (grouped)"
"445";"#";"v525";"NA - Age at first sex"
"446";"#";"v527";"NA - Time since last sex"
"447";"#";"v528";"NA - Time since last sex (in days)"
"448";"#";"v529";"NA - Time since last sex (in months)"
"449";"#";"v530";"NA - Flag for V529"
"450";"#";"v531";"NA - Age at first sex (imputed)"
"451";"#";"v532";"NA - Flag for V531"
"452";"#";"v535";"Ever been married or in union"
"453";"#";"v536";"NA - Recent sexual activity"
"454";"#";"v537";"NA - Months of abstinence"
"455";"#";"v538";"NA - How previous marriage or union ended"
"456";"#";"v539";"NA - Person who received most of late husband's property"
"457";"#";"v540";"NA - Respondent received any of late husband's assets or valuables"
"458";"#";"v541";"NA - Intends to wait until marriage to have sex"
"459";"#";"v602";"NA - Fertility preference"
"460";"#";"v603";"NA - Preferred waiting time for birth of a/another child"
"461";"#";"v604";"NA - Preferred waiting time for birth of a/another child (grouped)"
"462";"#";"v605";"NA - Desire for more children"
"463";"#";"v613";"NA - Ideal number of children"
"464";"#";"v614";"NA - Ideal number of children (grouped)"
"465";"#";"v616";"NA - Time for future birth"
"466";"#";"v621";"NA - Husband's desire for children"
"467";"#";"v623";"NA - Exposure"
"468";"#";"v624";"NA - Unmet need"
"469";"#";"v625";"NA - Exposure (definition 2)"
"470";"#";"v626";"NA - Unmet need (definition 2)"
"471";"#";"v625a";"NA - Exposure to need for contraception (definition 3)"
"472";"#";"v626a";"NA - Unmet need for contraception (definition 3)"
"473";"#";"v627";"NA - Ideal number of boys"
"474";"#";"v628";"NA - Ideal number of girls"
"475";"#";"v629";"NA - Ideal number of either sex"
"476";"#";"v631";"NA - Problem if became pregnant"
"477";"#";"v632";"NA - Decision maker for using contraception"
"478";"#";"v632a";"NA - Decision maker for not using contraception"
"479";"#";"v633a";"NA - Reason for not having sex: husband has STI"
"480";"#";"v633b";"NA - Reason for not having sex: husband has other women"
"481";"#";"v633c";"NA - Reason for not having sex: recent birth"
"482";"#";"v633d";"NA - Reason for not having sex: tired, not in mood"
"483";"#";"v633e";"NA - Reason for not having sex: CS"
"484";"#";"v633f";"NA - Reason for not having sex: CS"
"485";"#";"v633g";"NA - Reason for not having sex: CS"
"486";"#";"v634";"NA - Husband knows that respondent is using contraception"
"487";"#";"v701";"NA - Husband/partner's education level"
"488";"#";"v702";"NA - Husband/partner's highest year of education (at level in V701)"
"489";"#";"v704";"NA - Husband/partner's occupation"
"490";"#";"v704a";"NA - Husband/partner worked in last 7 days/12 months"
"491";"#";"v705";"NA - Husband/partner's occupation (grouped)"
"492";"#";"v714";"NA - Respondent currently working"
"493";"#";"v714a";"NA - Respondent has a job, but currently absent"
"494";"#";"v715";"NA - Husband/partner's total number of years of education"
"495";"#";"v716";"NA - Respondent's occupation"
"496";"#";"v717";"NA - Respondent's occupation (grouped)"
"497";"#";"v719";"NA - Respondent works for family, others, self"
"498";"#";"v721";"NA - Respondent works at home or away"
"499";"#";"v729";"NA - Husband/partner's educational attainment"
"500";"#";"v730";"NA - Husband/partner's age"
"501";"#";"v731";"NA - Respondent worked in last 12 months"
"502";"#";"v732";"NA - Respondent employed all year/seasonal"
"503";"#";"v739";"NA - Person who usually decides how to spend respondent's earnings"
"504";"#";"v740";"NA - Type of land where respondent works"
"505";"#";"v741";"NA - Type of earnings from respondent's work"
"506";"#";"v743a";"NA - Person who usually decides on respondent's health care"
"507";"#";"v743b";"NA - Person who usually decides on large household purchases"
"508";"#";"v743c";"NA - Person who usually decides on household purchases for daily needs"
"509";"#";"v743d";"NA - Person who usually decides on visits to family or relatives"
"510";"#";"v743e";"NA - Person who usually decides on food to be cooked each day"
"511";"#";"v743f";"NA - Person who usually decides what to do with money husband earns"
"512";"#";"v744a";"NA - Beating justified if wife goes out without telling husband"
"513";"#";"v744b";"NA - Beating justified if wife neglects the children"
"514";"#";"v744c";"NA - Beating justified if wife argues with husband"
"515";"#";"v744d";"NA - Beating justified if wife refuses to have sex with husband"
"516";"#";"v744e";"NA - Beating justified if wife burns the food"
"517";"#";"v745a";"NA - Owns a house alone or jointly"
"518";"#";"v745b";"NA - Owns land alone or jointly"
"519";"#";"v745c";"NA - Title deed on house own by respondent"
